step,gate_entropy,lr,mean_g_g,mean_g_l,mean_g_s,reg_loss,task_loss,total_loss,util,val_acc
100,0.9263246059417725,0.00015,0.4483962059020996,0.208013117313385,0.343590646982193,0.0032268555369228125,0.6851229667663574,0.6883498430252075,0.6564093828201294,
200,0.9934848248958588,0.0003,0.2888566851615906,0.28982013463974,0.42132318019866943,0.0004835647123400122,0.727893590927124,0.7283771634101868,0.5786768198013306,
300,1.0118345022201538,0.0002999229324301032,0.34019550681114197,0.32868432998657227,0.3311201333999634,0.004778452217578888,0.6748418211936951,0.6796202659606934,0.6688798666000366,
400,0.9401792287826538,0.00029969180891255043,0.2853805124759674,0.4016019403934479,0.31301748752593994,0.007594491355121136,0.5701234340667725,0.5777179002761841,0.6869825124740601,
500,0.9702243208885193,0.0002993068669423797,0.2838982045650482,0.39170655608177185,0.32439523935317993,0.005744457244873047,0.3611423969268799,0.36688685417175293,0.6756047010421753,
500,,,,,,,,,,0.78
600,0.9293540120124817,0.0002987685020734869,0.342159628868103,0.3421141803264618,0.3157261908054352,0.007136281579732895,0.30760428309440613,0.3147405683994293,0.6842737793922424,
700,0.9413155913352966,0.00029807726751216753,0.3351164758205414,0.3392425775527954,0.3256409764289856,0.005562763661146164,0.3994419574737549,0.40500470995903015,0.6743589639663696,
800,0.9563190340995789,0.0002972338735486598,0.3334374725818634,0.3334217667579651,0.3331407308578491,0.004503494594246149,0.29617270827293396,0.3006761968135834,0.6668592095375061,
900,0.9326937794685364,0.0002962391868272735,0.3648715615272522,0.3028930425643921,0.3322353661060333,0.004628533963114023,0.24875862896442413,0.2533871531486511,0.6677646636962891,
1000,0.9683169424533844,0.0002950942294558544,0.34874579310417175,0.31284695863723755,0.3384072780609131,0.0038285276386886835,0.08198314160108566,0.08581166714429855,0.6615926623344421,
1000,,,,,,,,,,0.9175
1100,0.9230080544948578,0.00029380017795549906,0.3505626916885376,0.32028377056121826,0.32915353775024414,0.00505427410826087,0.08436276763677597,0.08941704034805298,0.6708464622497559,
1200,0.9537869095802307,0.0002923583620516003,0.32952362298965454,0.32052651047706604,0.3499498665332794,0.0025379627477377653,0.08043920248746872,0.08297716826200485,0.6500501036643982,
1300,0.9302085638046265,0.00029077026330746403,0.3517102897167206,0.29110923409461975,0.35718047618865967,0.0018686805851757526,0.023761218413710594,0.02562989853322506,0.6428195238113403,
1400,0.9471427798271179,0.0002890375136019032,0.3321494460105896,0.3030507564544678,0.36479973793029785,0.0012722717365249991,0.05929933860898018,0.06057161092758179,0.6352002620697021,
1500,0.9179578125476837,0.00028716189345237184,0.3629394471645355,0.2629052698612213,0.37415528297424316,0.0007042420911602676,0.2671732008457184,0.2678774297237396,0.6258447170257568,
1500,,,,,,,,,,0.83875
1600,0.9127444922924042,0.0002851453301853628,0.3458583652973175,0.2872345447540283,0.3669070899486542,0.0011297229211777449,0.15211066603660583,0.1532403826713562,0.6330928802490234,
1700,0.9352361857891083,0.00028298989595595,0.30984288454055786,0.3186964988708496,0.3714606463909149,0.0008454793132841587,0.694522500038147,0.6953679919242859,0.6285393834114075,
1800,0.8812389373779297,0.00028069780561850837,0.36746662855148315,0.2591034770011902,0.37342989444732666,0.0007427158998325467,0.09087727963924408,0.09161999821662903,0.6265701055526733,
1900,0.9250925481319427,0.00027827141445080193,0.31926098465919495,0.2945866584777832,0.38615232706069946,0.00022368348436430097,0.010155637748539448,0.010379320941865444,0.6138476729393005,
2000,0.9044759571552277,0.000275713215733776,0.33629828691482544,0.2763097286224365,0.38739195466041565,0.00019259277905803174,0.00881197303533554,0.009004565887153149,0.6126080751419067,
2000,,,,,,,,,,0.9575
2100,0.8924872577190399,0.00027302583818954336,0.35383811593055725,0.2503001093864441,0.39586174488067627,5.250876711215824e-05,0.0026256199926137924,0.002678128657862544,0.6041382551193237,
2200,0.8869777619838715,0.0002702120432801935,0.32437554001808167,0.2927384078502655,0.38288605213165283,0.00032532395562157035,0.007834840565919876,0.008160164579749107,0.6171139478683472,
